timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778511391895,45,H,200,,true,,42,0,14
1778511391944,17,L,200,,true,,4,0,0
1778511391961,33,LP,200,,true,,25,0,0
1778511391997,43,LatP,200,,true,,36,0,0
1778511392041,53,Ad,200,,true,,19,0,0
1778511392094,26,LP_D,200,,true,,18,0,0
1778511392122,38,Ad2,200,,true,,7,0,0
1778511392161,15,Out,200,,true,,5,0,0
1778511392177,9,H,200,,true,,9,0,0
1778511392187,10,L,200,,true,,2,0,0
1778511392198,26,LP,200,,true,,18,0,0
1778511392226,39,LatP,200,,true,,31,0,0
1778511392265,39,Ad,200,,true,,7,0,0
1778511392304,29,LP_D,200,,true,,21,0,0
1778511392335,28,Ad2,200,,true,,6,0,0
1778511392364,10,Out,200,,true,,3,0,0
1778511392375,5,H,200,,true,,5,0,0
1778511392381,7,L,200,,true,,1,0,0
1778511392388,18,LP,200,,true,,8,0,0
1778511392408,20,LatP,200,,true,,10,0,0
1778511392429,16,Ad,200,,true,,3,0,0
1778511392446,18,LP_D,200,,true,,8,0,0
1778511392466,18,Ad2,200,,true,,4,0,0
1778511392485,9,Out,200,,true,,3,0,0
1778511392495,5,H,200,,true,,4,0,0
1778511392500,8,L,200,,true,,3,0,0
1778511392509,19,LP,200,,true,,9,0,0
1778511392529,37,LatP,200,,true,,28,0,0
1778511392567,39,Ad,200,,true,,6,0,0
1778511392606,30,LP_D,200,,true,,20,0,0
1778511392637,41,Ad2,200,,true,,7,0,0
1778511392679,16,Out,200,,true,,5,0,0
1778511392695,10,H,200,,true,,9,0,0
1778511392705,11,L,200,,true,,2,0,0
1778511392717,28,LP,200,,true,,18,0,0
1778511392746,40,LatP,200,,true,,31,0,0
1778511392786,39,Ad,200,,true,,7,0,0
1778511392826,28,LP_D,200,,true,,19,0,0
1778511392855,42,Ad2,200,,true,,8,0,0
1778511392898,15,Out,200,,true,,5,0,0
1778511392914,9,H,200,,true,,9,0,0
1778511392924,12,L,200,,true,,2,0,0
1778511392937,29,LP,200,,true,,18,0,0
1778511392967,42,LatP,200,,true,,32,0,0
1778511393009,36,Ad,200,,true,,6,0,0
1778511393046,28,LP_D,200,,true,,18,0,0
1778511393075,37,Ad2,200,,true,,6,0,0
1778511393113,14,Out,200,,true,,5,0,0
1778511393128,8,H,200,,true,,8,0,0
1778511393137,10,L,200,,true,,2,0,0
1778511393148,27,LP,200,,true,,16,0,0
1778511393176,41,LatP,200,,true,,32,0,0
1778511393217,39,Ad,200,,true,,7,0,0
1778511393256,30,LP_D,200,,true,,20,0,0
1778511393287,35,Ad2,200,,true,,7,0,0
1778511393323,9,Out,200,,true,,4,0,0
1778511393333,5,H,200,,true,,5,0,0
1778511393339,7,L,200,,true,,1,0,0
1778511393346,22,LP,200,,true,,9,0,0
1778511393369,33,LatP,200,,true,,22,0,0
1778511393403,37,Ad,200,,true,,6,0,0
1778511393441,32,LP_D,200,,true,,20,0,0
1778511393475,33,Ad2,200,,true,,6,0,0
1778511393509,10,Out,200,,true,,3,0,0
1778511393520,6,H,200,,true,,5,0,0
1778511393526,8,L,200,,true,,2,0,0
1778511393534,25,LP,200,,true,,12,0,0
1778511393560,27,LatP,200,,true,,15,0,1
1778511393588,20,Ad,200,,true,,4,0,0
1778511393609,22,LP_D,200,,true,,9,0,0
1778511393632,21,Ad2,200,,true,,5,0,0
1778511393653,10,Out,200,,true,,4,0,0
1778511393663,5,H,200,,true,,4,0,0
1778511393669,5,L,200,,true,,1,0,0
1778511393675,20,LP,200,,true,,7,0,0
1778511393696,29,LatP,200,,true,,17,0,0
1778511393726,30,Ad,200,,true,,5,0,0
1778511393756,28,LP_D,200,,true,,16,0,0
1778511393786,36,Ad2,200,,true,,5,0,0
1778511393823,16,Out,200,,true,,5,0,0
1778511393839,10,H,200,,true,,9,0,0
1778511393849,12,L,200,,true,,2,0,0
1778511393861,27,LP,200,,true,,19,0,0
1778511393889,39,LatP,200,,true,,32,0,0
1778511393929,40,Ad,200,,true,,6,0,0
1778511393969,28,LP_D,200,,true,,20,0,0
1778511393998,43,Ad2,200,,true,,8,0,0
1778511394042,13,Out,200,,true,,5,0,0
1778511394056,6,H,200,,true,,6,0,0
1778511394063,8,L,200,,true,,1,0,0
1778511394072,23,LP,200,,true,,11,0,0
1778511394096,32,LatP,200,,true,,20,0,0
1778511394128,38,Ad,200,,true,,6,0,0
1778511394167,33,LP_D,200,,true,,20,0,0
1778511394201,41,Ad2,200,,true,,7,0,0
1778511394242,16,Out,200,,true,,6,0,0
1778511394259,8,H,200,,true,,8,0,0
1778511394268,11,L,200,,true,,2,0,0
1778511394279,30,LP,200,,true,,20,0,0
1778511394310,41,LatP,200,,true,,32,0,0
1778511394352,39,Ad,200,,true,,6,0,0
1778511394391,30,LP_D,200,,true,,19,0,0
1778511394422,41,Ad2,200,,true,,7,0,0
1778511394463,15,Out,200,,true,,5,0,0
1778511394478,9,H,200,,true,,8,0,0
1778511394487,11,L,200,,true,,2,0,0
1778511394499,26,LP,200,,true,,18,0,0
1778511394526,40,LatP,200,,true,,32,0,0
1778511394566,21,Ad,200,,true,,5,0,0
1778511394588,16,LP_D,200,,true,,8,0,0
1778511394605,20,Ad2,200,,true,,4,0,0
1778511394626,9,Out,200,,true,,3,0,0
1778511394636,6,H,200,,true,,6,0,0
1778511394643,8,L,200,,true,,1,0,0
1778511394652,33,LP,200,,true,,20,0,0
1778511394686,33,LatP,200,,true,,21,0,0
1778511394720,23,Ad,200,,true,,4,0,0
1778511394744,48,LP_D,200,,true,,36,0,0
1778511394794,17,Ad2,200,,true,,3,0,0
1778511394812,8,Out,200,,true,,3,0,0
1778511394820,5,H,200,,true,,4,0,0
1778511394825,7,L,200,,true,,2,0,0
1778511394832,18,LP,200,,true,,8,0,0
1778511394851,20,LatP,200,,true,,12,0,0
1778511394872,20,Ad,200,,true,,3,0,0
1778511394893,24,LP_D,200,,true,,15,0,0
1778511394918,42,Ad2,200,,true,,8,0,0
1778511394961,16,Out,200,,true,,6,0,0
1778511394978,8,H,200,,true,,8,0,0
1778511394987,10,L,200,,true,,1,0,0
1778511394998,29,LP,200,,true,,18,0,0
1778511395027,42,LatP,200,,true,,33,0,0
1778511395069,39,Ad,200,,true,,7,0,0
1778511395108,30,LP_D,200,,true,,19,0,0
1778511395139,43,Ad2,200,,true,,8,0,1
1778511395183,15,Out,200,,true,,5,0,0
1778511395199,9,H,200,,true,,8,0,0
1778511395208,10,L,200,,true,,2,0,0
1778511395219,25,LP,200,,true,,12,0,0
1778511395247,28,LatP,200,,true,,16,0,0
1778511395275,28,Ad,200,,true,,4,0,0
1778511395303,28,LP_D,200,,true,,15,0,0
1778511395332,31,Ad2,200,,true,,6,0,0
1778511395364,12,Out,200,,true,,4,0,0
1778511395376,8,H,200,,true,,7,0,0
1778511395384,9,L,200,,true,,2,0,0
1778511395393,25,LP,200,,true,,15,0,0
1778511395419,33,LatP,200,,true,,23,0,0
1778511395452,30,Ad,200,,true,,5,0,0
1778511395483,25,LP_D,200,,true,,14,0,0
1778511395509,45,Ad2,200,,true,,6,0,0
1778511395554,10,Out,200,,true,,4,0,0
1778511395565,5,H,200,,true,,4,0,0
1778511395570,6,L,200,,true,,1,0,0
1778511395577,18,LP,200,,true,,8,0,0
1778511395596,22,LatP,200,,true,,13,0,0
1778511395618,19,Ad,200,,true,,4,0,0
1778511395637,19,LP_D,200,,true,,8,0,0
1778511395657,23,Ad2,200,,true,,4,0,0
1778511395680,14,Out,200,,true,,5,0,0
1778511395695,10,H,200,,true,,9,0,0
1778511395705,11,L,200,,true,,2,0,0
1778511395716,29,LP,200,,true,,19,0,0
1778511395745,39,LatP,200,,true,,32,0,0
1778511395785,38,Ad,200,,true,,6,0,0
1778511395823,28,LP_D,200,,true,,19,0,0
1778511395852,30,Ad2,200,,true,,6,0,0
1778511395883,10,Out,200,,true,,4,0,0
1778511395894,5,H,200,,true,,4,0,0
1778511395899,8,L,200,,true,,2,0,0
1778511395907,19,LP,200,,true,,10,0,0
1778511395927,19,LatP,200,,true,,12,0,0
1778511395947,17,Ad,200,,true,,4,0,0
1778511395964,16,LP_D,200,,true,,8,0,0
1778511395982,18,Ad2,200,,true,,3,0,0
1778511396001,9,Out,200,,true,,3,0,0
1778511396010,5,H,200,,true,,4,0,0
1778511396015,20,L,200,,true,,2,0,0
1778511396035,20,LP,200,,true,,11,0,0
1778511396056,21,LatP,200,,true,,13,0,0
1778511396077,20,Ad,200,,true,,4,0,0
1778511396097,19,LP_D,200,,true,,10,0,0
1778511396117,30,Ad2,200,,true,,4,0,0
1778511396147,15,Out,200,,true,,6,0,0
1778511396163,9,H,200,,true,,8,0,0
1778511396172,11,L,200,,true,,2,0,0
1778511396183,32,LP,200,,true,,19,0,0
1778511396216,44,LatP,200,,true,,32,0,0
1778511396261,39,Ad,200,,true,,7,0,0
1778511396300,33,LP_D,200,,true,,21,0,0
1778511396334,41,Ad2,200,,true,,7,0,0
1778511396376,14,Out,200,,true,,5,0,0
1778511396391,9,H,200,,true,,8,0,0
1778511396400,11,L,200,,true,,2,0,0
1778511396411,27,LP,200,,true,,18,0,0
1778511396439,39,LatP,200,,true,,31,0,0
1778511396479,37,Ad,200,,true,,6,0,0
1778511396517,28,LP_D,200,,true,,19,0,0
1778511396546,19,Ad2,200,,true,,4,0,0
1778511396566,9,Out,200,,true,,3,0,0
1778511396575,6,H,200,,true,,6,0,1
1778511396582,5,L,200,,true,,1,0,0
1778511396588,16,LP,200,,true,,8,0,0
1778511396605,21,LatP,200,,true,,14,0,0
1778511396627,33,Ad,200,,true,,4,0,0
1778511396660,28,LP_D,200,,true,,18,0,0
1778511396689,54,Ad2,200,,true,,6,0,0
1778511396743,9,Out,200,,true,,4,0,0
1778511396752,5,H,200,,true,,5,0,0
1778511396758,6,L,200,,true,,1,0,0
1778511396764,18,LP,200,,true,,9,0,0
1778511396783,21,LatP,200,,true,,13,0,0
1778511396805,19,Ad,200,,true,,3,0,0
1778511396824,19,LP_D,200,,true,,9,0,0
1778511396844,24,Ad2,200,,true,,5,0,0
1778511396869,13,Out,200,,true,,4,0,0
1778511396882,9,H,200,,true,,9,0,0
1778511396892,10,L,200,,true,,1,0,0
1778511396902,26,LP,200,,true,,18,0,0
1778511396929,39,LatP,200,,true,,31,0,0
1778511396969,35,Ad,200,,true,,5,0,0
1778511397004,26,LP_D,200,,true,,17,0,0
1778511397031,38,Ad2,200,,true,,6,0,0
1778511397069,10,Out,200,,true,,4,0,0
1778511397080,5,H,200,,true,,4,0,0
1778511397085,7,L,200,,true,,1,0,0
1778511397092,16,LP,200,,true,,7,0,0
1778511397109,19,LatP,200,,true,,11,0,0
1778511397129,16,Ad,200,,true,,3,0,0
1778511397145,16,LP_D,200,,true,,8,0,0
1778511397162,18,Ad2,200,,true,,4,0,0
1778511397181,8,Out,200,,true,,3,0,0
1778511397190,5,H,200,,true,,4,0,0
1778511397195,7,L,200,,true,,1,0,0
1778511397202,18,LP,200,,true,,8,0,0
